year,election,jurisdiction,position,candidate,precinct,vote_count,vote_percent
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1488,5,3.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1489,4,2.37
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1490,3,1.32
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1493,12,5.06
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1494,6,2.71
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1496,4,3.42
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1497,5,1.8
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1498,16,6.4
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1499,19,8.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1500,5,1.81
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1501,4,2.33
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1502,2,1.27
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1504,2,1.03
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1506,6,4.51
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1507,1,0.67
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1508,3,2.19
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1509,3,2.16
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1510,7,3.72
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1511,2,1.83
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1512,5,4.9
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1513,8,3.45
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1514,9,4.5
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1515,5,2.73
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1516,6,3.33
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1517,2,1.85
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1518,3,2.59
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1519,2,1.42
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1520,7,4.58
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1521,2,1.69
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1522,3,2.88
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1523,0,0
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1524,1,0.71
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1526,3,2.1
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1527,11,3.82
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1529,7,6.25
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1530,19,7.2
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1532,5,4.5
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1533,2,1.98
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1534,6,3.12
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1535,3,2.26
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1536,3,1.99
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1537,2,1.61
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1538,4,2.94
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1539,2,1.32
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1540,1,0.7
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1541,1,0.7
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1543,2,1.18
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1545,1,0.63
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1546,8,4.35
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1550,12,7.1
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1552,4,3.67
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1602,7,2.67
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-1928,1,1.54
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-2501,8,4.71
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3175,4,2.29
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3263,2,1.47
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3264,3,2.46
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3265,4,4.17
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3266,8,8.16
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3416,3,4.48
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3497,3,7.5
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3617,7,3.74
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3632,4,3.17
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3637,7,3.8
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3647,4,4.35
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3648,2,0.97
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3682,8,5.1
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3693,0,0
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3702,6,4.55
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3767,4,5.26
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3770,13,5.58
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3772,6,2.49
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3785,16,8.47
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3839,6,5.83
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3866,6,4.84
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 34-3942,5,4.35
2023,Primary,City of Seattle,Council District No. 1,Jean Iannelli Craciun,SEA 37-3969,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1245,9,4.66
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1246,6,4.32
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1247,4,2.33
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1248,11,6.83
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1249,9,5.81
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1250,3,2.1
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1251,14,7.49
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1252,11,3.87
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1254,3,2.19
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1255,8,6.56
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1256,4,2.56
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1257,5,2.1
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1258,7,4.17
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1259,2,1.35
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1408,12,2.99
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1409,1,0.46
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1410,1,0.96
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1411,3,2.13
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1412,5,3.85
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1413,5,2.31
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1414,2,1.77
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1415,5,2.76
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1416,3,1.69
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1418,7,4.76
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1419,6,2.12
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1420,6,2.09
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1422,8,4.44
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1423,6,4.65
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1424,10,5.68
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1425,2,1.25
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1426,1,0.83
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1427,1,0.95
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1428,2,2.17
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1429,2,1.67
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1430,1,0.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1431,3,1.48
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1432,3,1.85
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1433,2,1.12
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1434,2,1.6
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1435,1,0.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1436,6,6.45
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1437,3,1.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1438,1,0.69
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1439,3,2.05
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1440,1,0.88
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1441,1,0.81
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1442,1,0.66
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1443,2,0.93
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1444,9,3.47
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1446,3,1.76
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1448,2,1.39
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1449,1,0.71
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1450,4,2.61
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1451,6,3.59
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1452,4,3.88
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1453,1,0.78
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1454,2,1.56
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1455,22,13.25
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1456,1,0.55
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1457,8,4.44
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1458,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1459,1,0.75
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1460,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1461,1,0.5
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1462,3,1.73
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1463,2,1.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1464,2,0.96
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1465,2,1.06
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1466,5,3.42
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1467,6,1.92
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1468,2,1.25
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1469,5,4.9
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1470,4,4.3
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1471,5,2.18
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1472,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1473,2,1.49
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1474,4,2.42
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1475,1,0.74
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1476,6,4.17
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1477,2,1.52
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1478,5,4.17
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1479,5,3.36
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1480,9,3.26
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1481,5,3.05
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1482,4,2.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1484,8,5.37
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1485,20,13.51
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1486,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1487,6,2.48
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1488,4,3.1
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1489,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1490,8,3.52
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1493,10,4.22
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1494,6,2.71
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1496,9,7.69
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1497,5,1.8
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1498,13,5.2
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1499,10,4.27
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1500,9,3.26
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1501,1,0.58
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1502,10,6.37
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1504,4,2.05
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1506,4,3.01
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1507,2,1.33
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1508,5,3.65
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1509,1,0.72
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1510,1,0.53
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1511,7,6.42
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1512,5,4.9
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1513,10,4.31
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1514,9,4.5
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1515,6,3.28
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1516,4,2.22
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1517,3,2.78
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1518,1,0.86
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1519,3,2.13
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1520,2,1.31
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1521,0,0
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1522,1,0.96
2023,Primary,City of Seattle,Council District No. 1,Lucy Barefoot,SEA 34-1523,0,0
